HomeTeam,AwayTeam,Result,Home.Score,Away.Score,Home.Odds,Draw.Odds,Away.Odds
Chelsea,Sunderland,Sunderland,1,2,1.19,7.2,15.09
Crystal Palace,Arsenal,Arsenal,1,2,5.31,3.79,1.57
Crystal Palace,Arsenal,Arsenal,0,3,4.66,3.59,1.61
Crystal Palace,Arsenal,Arsenal,0,2,9.1,5.05,0.99
Crystal Palace,Bournemouth,Bournemouth,1,2,2.45,3.19,3.06
Crystal Palace,Chelsea,Chelsea,0,2,3.81,3.32,1.99
Crystal Palace,Chelsea,Chelsea,0,2,8.04,4.61,1.1
Crystal Palace,Chelsea,Chelsea,0,1,8.55,4.59,1.11
Crystal Palace,Aston Villa,Crystal Palace,2,0,1.88,3.53,4.47
Crystal Palace,West Brom,Crystal Palace,2,0,1.83,3.48,4.88
Crystal Palace,Newcastle,Crystal Palace,4,1,1.75,3.76,5.19
Crystal Palace,Stoke,Crystal Palace,2,1,2.03,3.41,4.08
Crystal Palace,Leicester,Crystal Palace,2,0,2.72,3.24,2.71
Crystal Palace,Liverpool,Crystal Palace,2,1,4.38,3.56,1.62
Crystal Palace,Tottenham,Crystal Palace,2,0,3.59,3.39,2.06
Crystal Palace,QPR,Crystal Palace,3,0,1.84,3.64,4.6
Crystal Palace,Man City,Crystal Palace,2,0,5.35,4.12,1.44
Crystal Palace,Sunderland,Crystal Palace,2,0,2.59,3.29,2.76
Crystal Palace,West Ham,Crystal Palace,1,0,2.97,3.24,2.43
Crystal Palace,Cardiff,Crystal Palace,2,0,2.7,3.26,2.7
Crystal Palace,West Brom,Crystal Palace,3,0,2.57,3.21,2.97
Crystal Palace,Bournemouth,Crystal Palace,4,2,1.17,5.04,6.43
Crystal Palace,Norwich,Crystal Palace,4,1,2.5,3.52,4.09
Crystal Palace,Swansea,Crystal Palace,1,0,1.21,2.32,3.44
Crystal Palace,Crystal Palace,Crystal Palace,1,0,1.21,3.75,4.33
Crystal Palace,Man United,Draw,0,0,3.72,3.31,1.89
Crystal Palace,Sunderland,Draw,0,0,1.59,3.82,6.55
Crystal Palace,Southampton,Draw,1,1,2.64,3.24,2.81
Crystal Palace,Swansea,Draw,0,0,2.02,3.38,4
Crystal Palace,Norwich,Draw,0,0,2.01,3.37,3.91
Crystal Palace,Everton,Draw,0,0,3.08,3.2,2.34
Crystal Palace,Burnley,Draw,0,0,2.2,3.29,3.69
Crystal Palace,Aston Villa,Draw,1,1,2.12,3.28,3.86
Crystal Palace,Stoke,Draw,1,1,2.65,3.22,2.86
Crystal Palace,Newcastle,Draw,1,1,2.4,3.25,3.05
Crystal Palace,Swansea,Draw,0,0,2.24,3.36,3.35
Crystal Palace,Tottenham,Draw,0,0,4.9,3.7,1.54
Crystal Palace,Everton,Draw,0,0,6.31,3.96,1.3
Crystal Palace,Norwich,Draw,1,1,2.39,3.22,3.03
Crystal Palace,Stoke,Draw,1,1,2.29,3.22,3.39
Crystal Palace,Hull,Draw,1,1,2.48,3.12,3.13
Crystal Palace,Aston Villa,Draw,0,0,2.18,3.24,3.63
Crystal Palace,Leicester,Draw,3,3,1.22,3.14,4.32
Crystal Palace,QPR,Draw,1,1,1.24,2.71,3.75
Crystal Palace,Burnley,Draw,1,1,5.3,3.55,3.84
Crystal Palace,Hull,Draw,1,1,1.62,5.65,7.44
Crystal Palace,Cardiff,Draw,3,3,1.38,2.98,3.51
Crystal Palace,Reading,Draw,1,1,2.02,3.44,4.33
Crystal Palace,Wigan,Draw,1,1,2.16,4.33,6.43
Crystal Palace,Fulham,Draw,0,0,2.29,3.56,4.19
Crystal Palace,Middlesborough,Draw,2,2,1.26,5.64,11.63
Crystal Palace,Everton,Everton,0,1,2.83,3.2,2.62
Crystal Palace,Fulham,Fulham,1,4,2.81,3.32,2.54
Crystal Palace,Hull,Hull,0,2,2.02,3.36,4.23
Crystal Palace,Leicester,Leicester,0,1,3.1,3.23,2.28
Crystal Palace,Liverpool,Liverpool,0,2,3.69,3.29,1.95
